target,text,processed_text
positive,@nkotbandbsb2008 thanks for sharing the pics  u look so pretty in them ;),thanks sharing pics look pretty them
positive,@Sunday28 Hey you ,hey you
positive,My brother has his graduation service this morning! I'm very proud of that kid ,brother has his graduation service morning very proud that kid
negative,Only 1908 lines today.  ,only lines today
positive,"BEAUTIFUL DAY!  i saw someone roller blading, i'm gonna take up roller blading now!",beautiful day saw someone roller blading gonna take roller blading now
positive,is pretttty cool ,pretttty cool
negative,@of_many_masks  that you won't be here for the festivities.,that you wont here festivities
negative,my little sooty (cat) died ,little sooty cat died
negative,OMG Mcdonalds in crewe is closed for two weeks that means i had 2 make do wiv subway  no offense to subway workers u no who u r lol,omg mcdonalds crewe closed two weeks that means had make wiv subway offense subway workers who lol
negative,@lizjonashq I've never been to a JB concert! Tickets are really expensive! ,ive never been concert tickets are really expensive
negative,phone is dead   mega gay,phone dead mega gay
negative,@philcampbell Low-fat cheese is made by the devil ,lowfat cheese made devil
negative,"Sometimes my kiddo assumes stuff that's sad, and I always try to reassure him, but it doesn't always work.  ",sometimes kiddo assumes stuff thats sad always try reassure him but doesnt always work
negative,"Well, the Prez just announced the Fed owns GM and says it will be 'hands off' mgmt. lol. Riiight. Say goodbye to private enterprise... ",well prez announced fed owns says will hands off mgmt lol riiight say goodbye private enterprise
negative,"@MelissaHourigan i wish. i'm on lock down  we need to catch up, though. seriously.",wish lock down need catch though seriously
positive,@healthy_recipes Awesome! Looking forward to yours as well. ,awesome looking forward yours well
positive,Off to do some homework! ,off some homework
positive,@mileycyrus i vote for you !!!!  &lt;3,vote you
negative,My dogs are knocking at the door because I forgot to feed'em!! - sorry kids ,dogs are knocking door because forgot feedem sorry kids
negative,@Misstaken77 ....drinking and dancing...didn't get to put the Block on though ,drinking dancingdidnt get put block though
positive,@Samuel_CA hahaha  your not getting anything  hope your okay? x,hahaha your not getting anything hope your okay
positive,"ah, i cant wait for the movie awards. New Moon preview  ",cant wait movie awards new moon preview
negative,"@thelittleidiot Shit, that's some major bad news ",shit thats some major bad news
negative,@mydianaz06 Neurosurgeon says as long as 4 mnths ,neurosurgeon says long mnths
positive,Last tweet...from TweetDeck anyway..it's gonna suck washing the green from my hair. i'll miss it! won't be the last time i color my hair! ,last tweetfrom tweetdeck anywayits gonna suck washing green from hair ill miss wont last time color hair
positive,@alexandramusic i hope aiden or little shaheen win ,hope aiden little shaheen win
negative,Ok now i'm getting worried. I just got asked I'd again in weatherspoons I have no I'd  had to move on,now getting worried got asked again weatherspoons have had move
negative,i need some fun time where i dont end up hurting days after ,need some fun time where dont end hurting days after
negative,Leighton Meester sex tape? Oh girl say it aint so ,leighton meester sex tape girl say aint
negative,man its cold here! I love the idea of winter but not the weather! ,man its cold here love idea winter but not weather
negative,my handphone oh my god ,handphone god
positive,"@anadeau Fun as long as you're not sitting next to a bunch of #Habs fans!  (Presuming you're a Bruins fan, of course.)",fun long youre not sitting next bunch fans presuming youre bruins fan course
negative,Backache from packing letters and scanning letters all day. Bad times ,backache from packing letters scanning letters all day bad times
positive,is tired and excited for tomorrow??! haha.. bukas na first day qh sa college... ARGH! haha  http://plurk.com/p/110zne,tired excited tomorrow haha bukas first day college argh haha
negative,@OriginalNajeema I missed #lovesongsunday? ,missed
positive,"@misskat802 I'm really trying! I looked like a fool at the gym today, but I was sweating!! LOL! That's what counts! ",really trying looked like fool gym today but was sweating lol thats what counts
negative,"upset, can't get to land training this afternoon ",upset cant get land training afternoon
positive,@Delays_ http://twitpic.com/6sawu - Thanks for Sharing Colin!  You'll Have To Tell Us What Is Inside The Bag When The Day Arrives! xx,thanks sharing colin youll have tell what inside bag when day arrives
negative,I could really do with a siesta right about now  #fb,could really with siesta right about now
negative,My hives are up today. Makes me feel crappy ,hives are today makes feel crappy
positive,"ooo getting a credit card was a bad idea...2 concert tickets, a camera and an ipod later  ",ooo getting credit card was bad idea concert tickets camera ipod later
negative,Is sad about Sudan bombing Darfuri refugees in Chad  ,sad about sudan bombing darfuri refugees chad
negative,"projects #3 and 4 are cut and being pinned... Lance is off tracking down a coupler for the paint sprayer, we had the wrong one ",projects are cut being pinned lance off tracking down coupler paint sprayer had wrong one
negative,"@Gingertomtomz Haha Yahh LV was funnn, mother's day night tho I had to stay in the room and be the baby sitter ",haha yahh was funnn mothers day night tho had stay room baby sitter
positive,@rajskub  I'll take the brownish one with the sprinkles ,ill take brownish one with sprinkles
negative,watching dave!  wish I were there ,watching dave wish were there
negative,We'll be on our bus on our wayw to a plane in 2 hours.  How sad. I wanna stay here forever.,well our bus our wayw plane hours how sad wanna stay here forever
negative,To the doctor's office ,doctors office
positive,@xinyili Yo! haha Kelan mo kukunin ang pen mo? see you tomorrow ,haha kelan kukunin ang pen see you tomorrow
positive,OMGosh yes...Katt Williams @ 1 in the a.m. = no sleep 2night...Still got church in the morning though. ,omgosh yeskatt williams sleep nightstill got church morning though
positive,twitter has a maintenance sign up but it is taking my posts..just not sending replies and direct messages. G'nite all  taking gibbs out..,twitter has maintenance sign but taking postsjust not sending replies direct messages gnite all taking gibbs out
negative,@davidaldrich_wx boo!  Too much rain ,boo too much rain
negative,I have nothing to do today  i wanted this now its getting old,have nothing today wanted now its getting old
positive,"@PRsarahevans Of course, you can try saying it backwards... ",course you can try saying backwards
negative,22 days until the NBA Draft still ,days until nba draft still
negative,This seems pretty confusing  Hmm...,seems pretty confusing hmm
positive,@mattgemmell So it is time to work out your german a bit ,time work out your german bit
negative,Karaokee last night until 2330... Man that SGS crowd is crazy!  lol.  And then MBA discussion after   I tired...,karaokee last night until man that sgs crowd crazy lol then mba discussion after tired
negative,Fk walkingg all the way 2 socioo ,walkingg all way socioo
positive,they're cleanin house tonighht! ,theyre cleanin house tonighht
negative,AHHH! I effed up my project that I've been working on for DAYSS!!! ,ahhh effed project that ive been working dayss
positive,@KT_93 old enough  lol you??,old enough lol you
negative,@PhillyGG aww...next time  be careful...they hunt people out there..and watch out for andy reids kids.,awwnext time carefulthey hunt people out thereand watch out andy reids kids
positive,@queenofhaddock I love Swarley too! ,love swarley too
positive,@AshleyLTMSYF http://twitpic.com/6bk9j - Cute face Ash  but look in the camera ,cute face ash but look camera
negative,sonic youth con gripe no eran taaaaaaaan divertido ,sonic youth con gripe eran taaaaaaaan divertido
negative,Up is a seriously sad movie. ,seriously sad movie
positive,UP with the husband!!! ,with husband
negative,http://twitpic.com/6g862 - I must go away John ,must away john
positive,@Will_the_bloke: &quot;The Church â Unguarded Moment...  such a great song @jennyleepenny  &quot; â« http://blip.fm/~7pol5,quotthe church unguarded moment such great song quot
