target,text
negative,should be cleaning but instead im being lazy.....i'm gonna get bitchd at when she get's home 
positive,@scenehippie Okay baby.&lt;3 you better!!! text meeeee handsomeee. 
positive,yay i have over 800 updates 
positive,"@penreyes You can never go wrong with an extra set of diamond earrings, especially for free   http://bit.ly/gbPLU"
negative,"AMG, it's June and I suddenly want to turn the bloody heating on "
positive,"played about 10 hours of volleyball today...no breaks and no lunch. rough tournament, but still a fun one "
negative,stomach ache 
positive,is off to Rya's to get my JOSErIZ books. be back in a bit.  http://plurk.com/p/z0sse
negative,@Winchester_Anon Still. Why all the cheating? It makes me sad 
positive,@30SECONDSTOMARS Woooo! How many songs left untill its complete? Getting excited now....MARS IS COMING 
negative,Smh... My poor freshly pressed roots  the sun is not my friend right now!
negative,@girlfriend01 i dont think the cough eva reaaly went away. It was just hiding...n i found it. 
negative,People at work: I'm sorry i smell bad. It was hot outside. 
negative,@violetbakes @piginthepoke @Sazchik *everyone* was invited! but you're right... weather isn't looking promising 
negative,@gcdelapaz are they harassing you again? 
negative,@CTJL sorry i got a no from the manager...he said next time he can get you all in as long as its before midnight  sorry chris 
negative,doesn't think she's going to get the only thing she REALLY wants for her birthday... 
negative,@zarathevegan Working. Delivery day tomorrow. 
negative,"@vranac sad-sad-sad-sad-sad-sad panda  oh well, I'll graduate soon and will have no troubles with 'em anymore :-/"
positive,@tzunder Mee too. Did a shed load over the weekend. Sorting out the lawn this week 
negative,"doobie, mi primo, is spending the night  just lovely"
negative,@TheRealJordin I'm jealous. I don't have anyone to see them with when they come here. 
positive,"Oops, I'm late! Bye! Be Blessed! "
positive,@medaliual you shoudl even go to Bath and Body works...theyre having a sale. Everything $5 
negative,@davidschwimmer Happy Sunday! Hope you DID have a relaxing weekend. Sorry you were stressed the other day! That's never fun! 
negative,it's too early to be awake 
positive,@sannajonsson good good you?! 
positive,Just been sent a link by @pixelcult  to a ie6 prompt update that looks like an activex warning. Sneky   http://is.gd/szi8
positive,Listening to JVA remix of Surrounded by light.. nice remix 
negative,@Dynasty_Reigns me and Alyssa were gonna come play but it's raining 
positive,@INKDMOM Seriously going to bed now...met my limit tonight.  But everything was oh soooo good BBQ/dessert/drink.  Can't stop at one rib!  
positive,@myfabolouslife lol ; that was funny.  ..
positive,"On my way to Ngurah Rai International Airport. Thanks for the great 3 days, Bali "
negative,DAMMIT! AHHH! This aint cool. I'm so MAD. WHAT THE HELL!! 
negative,2:30pm is so far away! Oh yeah going to the DMV after work. Lucky me! 
positive,"And i love @sarakiesling because she is awesome and replies to my tweets  next time youre at a show im at, i need to meet you!  MN wins."
negative,@zashhh what happened?  have you heard the audish new alb yet?! soso good&lt;3
positive,@AravindJose yeah.. the features of mixero can be overwhelming for a first timers 
negative,Gmorning twitts! Ready for the wknd.. But first off to work  T.G.I.F 
positive,i really should start planning my 16th i think i might just have a small get together with the fam and friends  brita's party was awesome!
negative,"397 signatures only? OH GOSH, RECRUIT MORE PEOPLE! we need a whole lot more people..  Anoop, we're rescuing you here!"
positive,New Room!! 
negative,@stephaniemm Aw that's too bad 
negative,@patmaine trying not to cry while watching the notebook haha 
negative,"@Bijoux0013 I can't give in just yet!!  *YAWN*  Needs MOAR FISHIEZ!!  #ffxi  3 more and I'm done, &amp; I keep pulling up the wrong fish. "
positive,had so much fun with the Minas last night.  Long live Donnie Darko!!  
negative,"Good morning world, time to work "
negative,Procrastinating... packing my bags (very slowly) to leave Ye Olde Slovakia... Rainy Scotland here i come 
positive,"@xDinna more blog smilies! Maybe some other content you could consider adding is...brushes? For Gimp, Photoshop, etc. "
negative,The poor whales. http://bit.ly/nzspo  That makes me want to cry 
positive,@siirensiiren def. retweet and fave. worthy 
negative,@lynndyshella  Hope it gets fixed too! Hot weather sucks. Drink ice water or something to stay cool!
negative,@unleashedSIN bout to knock out long ass day tom 
positive,@capemaybooks Sure! I just wanted to make sure it's going as well as it can. 
positive,@gblock messenger.live.com ? 
positive,"damn klaxons, how did I forget about you? Now I feel alive again "
positive,Soon going to Germany! Oh joy 
negative,Bout to get dressed 4 the day...thinkin a cute dress and sandals...2 bad I'm dressing 4 work 
negative,OMG im so tired!! that's why I don't go out during the work week. Im lagging!  I need wings!
negative,"@macamillejoyce I, too, feel sorry for him.  So, your vacation starts on Wednesday? Haha, I hope you can visit La Salle.. next year? Hehe"
negative,I think moving brings out the worst in some people.. 
positive,@natashayi *walks closer* 
negative,humm .. well im on msn and doing my english  um.. missing my best friend i guess lol
negative,Wouldve had a show today but i fucked up on blogtv  dont worry folks ill be back live soon
positive,@DizzyBalloon Alexandra Sautter  i'm friends with you on facebook!
negative,"just got home from seeing a sketchy person ! UGH eww.. anyways, im bored now "
negative,Ohh @RebeccaMasters is going on holiday today and leaving me  I will miss herrr &lt;3
negative,"@PurpleMuffinMan ahh dont cry, i dont like to see a grown man cry. "
positive,"haha, perfect evening. jaffa cakes, bb, smirnoff ice. love ad breaks. gives me time to get drinks! "
positive,"Apple Store in Palo Alto, popped into Caffe del Doge, next block. service + customers in both oddly friendly. Merc retrog definitely over "
positive,"Need to send emails to 100,000  contacts? Check out EmailUnlimited on http://www.4officeautomation.com "
negative,"@debbiesmth I am so sorry you didn't get the position, I was sure you would. "
negative,"@lesleh We so better, I haven't done it either. Neither have a lot of people. I'm off to get ready now. Gotta walk  laters Lesleh! XD"
negative,pore guinea pig's teeth are loose! 
positive,"change in plans now, taking care of my love "
negative,@coachbear Not a nice night to be out on the tiles  Drive safely... 
negative,@RebeccaNiemiec ooh.. that's not good..  how'd that happen?
negative,- Subway was a bad choice 
positive,Lexington Bridge - Sign Your Name on Viva PL now.!!!! 
positive,its going down 
negative,"@sentricmusic No, I believe it was 'a cast-off' "
positive,@ngneil Could you send some star defense promo materials my way? tigercat212@me.com Thanks! 
negative,worst headache right now 
negative,@jaymattlin hey jay! just preparing for graduation  not ready for it! u?
positive,Just posting a little link that everyone should go to: http://www.animalsmatter.org It is very important.  Thank you very much.
negative,"You would think if I continue to block someone, despite the fact they are under a new username each time, I DON'T want them following me! "
positive,on Flickr - Photo Sharing!: Pink Peony Photography ~ Karleen ï¿½ Pro User says:  she's adorable here! cute j.. http://bit.ly/Bz4L3
negative,i am.. eating a creamsicle and getting brainfreeze. i still am not happy 
positive,@nabejero yeah some people get carried away and misuse #MBTI to assess a person's worth. i just use it to find other people like me 
negative,@nkangel74 yeah they  so sad. As for the REAL reason we may never know. I feel horrible i just broke the news to some 1 who did not know
negative,"i don't wanna fall asleep, cause I'd miss you baby, and I don't wanna miss a thing "
negative,@onthe222 Yes King Henry VIII was a dick. You need to keep watching the show. I'm behind on the current season no showtime  Crappy net too
positive,HEY! It's @PaulaCasas KC is lame &amp; never plans on updating this so I might as well.. I believe she is at home.. PICKING HER NOSE 
positive,@melicor if I am thinking of the right person then I am glad to say I will thankfully not be there this summer 4 his visits 
negative,watching CCEA then hw time; still sick 
negative,Ohhh kessi has sad that the sun seems to not want to make an appearance today...  summer officially starts tomorrow!Sun better say hi  ...
positive,"Tonight just became the best night ever, @hoochiebutt finally said YES!!! I'm so happy right now. "
positive,"Quick reminder  Ultimate Marketing Downloads is live, but only for a limited time... http://hopurl.com/63917"
negative,@donnie7 yea i kno! i &lt;3 her. shes practically my sister lol but that name has gotta go!!!!! 
positive,Great time tonight @ Buddha Tao. If u haven't made it out there yet. Come! I think I put on a great show! 
positive,@dinno Talk to your dad about it  its tried and tested method. Thats how I got N82 from mom 
positive,@MaheshKukreja Great!! i'm fine. Just chilling at home n watching &quot;animal planet&quot; 
positive,@FreshPlastic love to have one 
negative,"@leaisonfiyerrr Awww. yeah, it`s pretty disappointing to see your tumblarity going down when you workd so hard for it "
negative,finished dance 
positive,@Ipswich772 @wossy I love little boots 
negative,and i couldnt audition fr a web show!.i didnt get a part! 
positive,I'm happy... the Lakers won the championships 
positive,"@dannywood U never disappoint do you... always on time!  We love you too Danny!!!!! XOXOXO Get some rest, no workout today, it's ok! ;)"
positive,Finished my blog banner today!!! Now @bewaretheleopar is taking me out for our anniversary dinner! 
positive,yep cinnamon toast crunch 
negative,ughh so upset about my grades this semester   
negative,haha i'm watching take that at the o2 oh i miss it 
positive,Austin's favorite comeback? &quot;Your face!&quot; He learned it from me 
